feature,mean_abs_shap
rst_count,0.056809460665536826
IAT,0.05220424643281205
AVG,0.05218461464372266
Tot size,0.04523999905835463
ack_flag_number,0.037979429731946325
Max,0.032897096922001205
Header_Length,0.031462816874493295
Number,0.030376314334137965
Variance,0.029958804460077995
Rate,0.025336153421726657
ICMP,0.02093142499386099
syn_flag_number,0.0184708679930367
psh_flag_number,0.015794055941631885
Min,0.013861304793406639
fin_count,0.009944794355186422
Tot sum,0.007893348087273454
Std,0.006852132331370852
Protocol Type,0.006680523021149745
rst_flag_number,0.005975700265808077
TCP,0.004079525794508736
UDP,0.002523709934458567
HTTPS,0.002312521603797295
IPv,0.0014515763900437226
syn_count,0.0013985350858535528
fin_flag_number,0.001342911819643015
LLC,0.0013190183284680415
ARP,0.0012708608689292928
ack_count,0.0012660873041374036
HTTP,0.0010609664291976319
DNS,0.00010731051640819588
DHCP,8.452772232266545e-07
cwr_flag_number,5.542544218841174e-07
ece_flag_number,3.823656127830696e-07
SMTP,3.61077313096493e-07
IGMP,3.232015147424478e-07
IRC,1.5365849600089808e-07
SSH,7.270910998252798e-08
Telnet,1.928750878905892e-08
